"filename", "language", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\App.css", "CSS", 0, 33, 0, 0, 0, 6, 39
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\App.js", "JavaScript", 24, 0, 0, 0, 36, 7, 67
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\components\Events.js", "JavaScript", 268, 0, 0, 0, 22, 50, 340
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\components\Home.js", "JavaScript", 61, 0, 0, 0, 6, 13, 80
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\components\Registration.js", "JavaScript", 72, 0, 0, 0, 2, 5, 79
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\data\constants.js", "JavaScript", 211, 0, 0, 0, 0, 0, 211
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\data_model.json", "JSON", 0, 0, 190, 0, 7, 21, 218
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\index.js", "JavaScript", 13, 0, 0, 0, 13, 5, 31
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\pages\Events.js", "JavaScript", 217, 0, 0, 0, 21, 42, 280
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\pages\Home.js", "JavaScript", 34, 0, 0, 0, 0, 9, 43
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\pages\Login.js", "JavaScript", 64, 0, 0, 0, 0, 13, 77
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\pages\Register.js", "JavaScript", 85, 0, 0, 0, 4, 15, 104
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\styles\theme\index.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12eventui\src\utils\api.js", "JavaScript", 34, 0, 0, 0, 0, 3, 37
"Total", "-", 1116, 45, 190, 1, 115, 198, 1665