"filename", "language", "Markdown", "JSON with Comments", "JSON", "Python", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\Z12v0events.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\apps.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\auth\views.py", "Python", 0, 0, 0, 49, 0, 0, 0, 0, 0, 28, 77
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\clubs\views.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\events\serializers.py", "Python", 0, 0, 0, 40, 0, 0, 0, 0, 0, 13, 53
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\events\views.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 2, 10, 69
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\tests.py", "Python", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\urls.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\users\serializers.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 6, 6, 27
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\api\users\views.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 5, 4, 36
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\admin.py", "Python", 0, 0, 0, -4, 0, 0, 0, 0, 4, 0, 0
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\constants.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\models.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, -9, -2, 2
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\tests.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, -1, 4, 30
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\event_mgmt\urls.py", "Python", 0, 0, 0, -5, 0, 0, 0, 0, 5, 0, 0
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\manage.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\asgi.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\settings.py", "Python", 0, 0, 0, 108, 0, 0, 0, 0, 75, 43, 226
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\urls.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 15, 2, 26
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\z12event\wsgi.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\asset-manifest.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\static\css\main.073c9b0a.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\static\js\787.0a2c6d4e.chunk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\static\js\main.67b8e7df.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\build\static\media\logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\package-lock.json", "JSON", 0, 0, 17328, 0, 0, 0, 0, 0, 0, 1, 17329
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 1, 3, 13
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\App.test.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Events.js", "JavaScript", 0, 0, 0, 0, 296, 0, 0, 0, 1, 47, 344
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Home.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 6, 14, 76
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\components\Registration.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 5, 75
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\data\constants.js", "JavaScript", 0, 0, 0, 0, 212, 0, 0, 0, 1, 1, 214
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\data\setup.json", "JSON", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 262
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\data_model.json", "JSON", 0, 0, 190, 0, 0, 0, 0, 0, 7, 21, 218
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\index.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 31, 7, 90
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\About.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Events.js", "JavaScript", 0, 0, 0, 0, 236, 0, 0, 0, 0, 30, 266
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Home.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 9, 40
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Login.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 14, 82
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\pages\Register.js", "JavaScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 18, 123
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\styles\theme\index.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\admin\vscodeprojects\FYP\Z12v0events\projectv1\z12event\ui\src\utils\api.js", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"Total", "-", 39, 8, 17905, 420, 1282, 21, 2, 46, 199, 370, 20292